"mass_id","sn","dt","mg","note"
"824","169","2023-08-29 12:00:00","2669","forgot to pre-weigh before placing in the solution. removed "
"825","169","2023-08-29 12:01:00","2746","forgot to pre-weigh before placing in the solution. removed "
"826","171","2023-08-29 12:00:00","3790",
"827","171","2023-08-29 12:01:00","3870",
"828","173","2023-08-29 12:00:00","3429",
"829","173","2023-08-29 12:01:00","3771",
"830","180","2023-08-29 12:00:00","4413",
"831","180","2023-08-29 12:01:00","4781",
"832","181","2023-08-29 12:00:00","4657","forgot to pre-weigh before placing in the solution. removed "
"833","181","2023-08-29 12:01:00","4677","forgot to pre-weigh before placing in the solution. removed "
"834","186","2023-08-29 12:00:00","3430",
"835","186","2023-08-29 12:01:00","3604",
"836","192","2023-08-29 12:00:00","4595",
"837","192","2023-08-29 12:01:00","4652",
"838","193","2023-08-29 12:00:00","4038",
"839","193","2023-08-29 12:01:00","4396",
"840","195","2023-08-29 12:00:00","4273",
"841","195","2023-08-29 12:01:00","4422",
"842","202","2023-08-29 12:00:00","3657",
"843","202","2023-08-29 12:01:00","3810",
"844","204","2023-08-29 12:00:00","2580",
"845","204","2023-08-29 12:01:00","2737",
"846","205","2023-08-29 12:00:00","3884",
"847","205","2023-08-29 12:01:00","4011",
"848","206","2023-08-29 12:00:00","4218",
"849","206","2023-08-29 12:01:00","4323",
"850","207","2023-08-29 12:00:00","3030",
"851","207","2023-08-29 12:01:00","3119",
"852","214","2023-08-29 12:00:00","5402","forgot to pre-weigh before placing in the solution. removed "
"853","214","2023-08-29 12:01:00","5537","forgot to pre-weigh before placing in the solution. removed "
"856","38","2023-08-31 12:00:00","3155",
"857","38","2023-08-31 12:01:00","3224",
"858","108","2023-08-31 12:00:00","3276",
"859","108","2023-08-31 12:01:00","3395",
"860","176","2023-08-31 12:00:00","1125",
"861","176","2023-08-31 12:01:00","1214",
"862","217","2023-08-31 12:00:00","3552",
"863","217","2023-08-31 12:01:00","3815",
"864","223","2023-08-31 12:00:00","3266",
"865","223","2023-08-31 12:01:00","3375",
"866","227","2023-08-31 12:00:00","1866",
"867","227","2023-08-31 12:01:00","1978",
"868","230","2023-08-31 12:00:00","4540",
"869","230","2023-08-31 12:01:00","4560",
"870","235","2023-08-31 12:00:00","3554",
"871","235","2023-08-31 12:01:00","3671",
"872","248","2023-08-31 12:00:00","2805",
"873","248","2023-08-31 12:01:00","2915",
"874","275","2023-08-31 12:00:00","4794",
"875","275","2023-08-31 12:01:00","5032",
"876","278","2023-08-31 12:00:00","3298",
"877","278","2023-08-31 12:01:00","3421",
"878","280","2023-08-31 12:00:00","2784",
"879","280","2023-08-31 12:01:00","2913",
"880","323","2023-08-31 12:00:00","5001",
"881","323","2023-08-31 12:01:00","5033",
"882","330","2023-08-31 12:00:00","3292",
"883","330","2023-08-31 12:01:00","3462",
"884","336","2023-08-31 12:00:00","4177",
"885","336","2023-08-31 12:01:00","4237",
"886","343","2023-08-31 12:00:00","5842",
"887","343","2023-08-31 12:01:00","5935",
"888","349","2023-08-31 12:00:00","3562",
"889","349","2023-08-31 12:01:00","3697",
"890","353","2023-08-31 12:00:00","2394",
"891","353","2023-08-31 12:01:00","2473",
"892","354","2023-08-31 12:00:00","3753",
"893","354","2023-08-31 12:01:00","3943",
"894","363","2023-08-31 12:00:00","3557",
"895","363","2023-08-31 12:01:00","3634",
"896","364","2023-08-31 12:00:00","5312",
"897","364","2023-08-31 12:01:00","5342",
"898","369","2023-08-31 12:00:00","4839",
"899","369","2023-08-31 12:01:00","4888",
"900","373","2023-08-31 12:00:00","2769",
"901","373","2023-08-31 12:01:00","2881",
"902","374","2023-08-31 12:00:00","3378",
"903","374","2023-08-31 12:01:00","3445",
"904","375","2023-08-31 12:00:00","3838",
"905","375","2023-08-31 12:01:00","3962",
"906","376","2023-08-31 12:00:00","5370",
"907","376","2023-08-31 12:01:00","5386",
